iter,bad_orientation,base_height,total_falls,rolling50_falls,mean_reward,mean_episode_length,terrain_levels
119,234.8750,0.0000,234.8750,298.9850,-0.5900,17.1600,0.0000
120,233.7500,0.0417,233.7917,296.4333,-0.4800,17.9900,0.0000
121,228.2083,0.0000,228.2083,293.8242,-0.4400,18.1300,0.0000
122,226.9167,0.0000,226.9167,291.1492,-0.4800,18.2800,0.0000
123,230.7917,0.0000,230.7917,288.6967,-0.4700,17.8000,0.0000
124,226.1667,0.0000,226.1667,286.1492,-0.4100,18.3100,0.0000
125,225.8333,0.0000,225.8333,283.6233,-0.5200,17.8600,0.0000
126,219.0833,0.0000,219.0833,280.9692,-0.4400,19.0600,0.0000
127,222.8750,0.2083,223.0833,278.4142,-0.5300,18.7400,0.0000
128,219.8750,0.0000,219.8750,275.6925,-0.5000,18.5800,0.0000
129,216.8333,0.0000,216.8333,272.9125,-0.4500,18.8300,0.0000
130,223.2500,0.0000,223.2500,270.5108,-0.5200,18.7400,0.0000
131,219.8750,0.0000,219.8750,268.0625,-0.4300,19.2400,0.0000
132,216.7500,0.0000,216.7500,265.7058,-0.5000,18.9000,0.0000
133,215.5000,0.0000,215.5000,263.3208,-0.4600,19.7800,0.0000
134,208.9583,0.0000,208.9583,260.9767,-0.4800,20.1600,0.0000
135,208.0417,0.0000,208.0417,258.5975,-0.5500,19.9200,0.0000
136,208.1250,0.0000,208.1250,256.2450,-0.5700,20.5400,0.0000
137,205.7500,0.0417,205.7917,253.7875,-0.4300,21.1600,0.0000
138,198.7917,0.1667,198.9584,251.1942,-0.5500,20.8200,0.0000
139,200.2500,0.0417,200.2917,248.7192,-0.5700,20.7400,0.0000
140,201.3750,0.0000,201.3750,246.4242,-0.4500,21.2200,0.0000
141,198.4167,0.0000,198.4167,244.2767,-0.4800,21.0700,0.0000
142,202.5833,0.0000,202.5833,242.2950,-0.4200,21.3400,0.0000
143,202.2917,0.0000,202.2917,240.3192,-0.3700,21.5100,0.0000
144,202.6667,0.0000,202.6667,238.3508,-0.4700,20.8700,0.0000
145,200.6667,0.0000,200.6667,236.4750,-0.4400,20.5800,0.0000
146,205.2083,0.0000,205.2083,234.7442,-0.5400,19.8800,0.0000
147,193.2083,0.0000,193.2083,232.7608,-0.5300,21.6600,0.0000
148,197.4583,0.0833,197.5416,230.8583,-0.3700,22.4900,0.0000
149,193.1667,0.0417,193.2084,228.9567,-0.4900,21.1700,0.0000
150,193.6250,0.0000,193.6250,227.2400,-0.6200,21.8100,0.0000
151,196.0833,0.0000,196.0833,225.5042,-0.5100,21.7600,0.0000
152,192.2083,0.0000,192.2083,223.8750,-0.6000,20.9000,0.0000
153,189.4583,0.0000,189.4583,222.1717,-0.4100,22.3200,0.0000
154,191.5833,0.0000,191.5833,220.5183,-0.3700,22.2100,0.0000
155,196.8333,0.0417,196.8750,219.1783,-0.4900,21.0500,0.0000
156,194.4167,0.0000,194.4167,217.8592,-0.4300,21.8600,0.0000
157,189.0417,0.0000,189.0417,216.4692,-0.4300,21.9600,0.0000
158,191.0833,0.0000,191.0833,215.3375,-0.3900,24.0600,0.0000
159,188.2917,0.0000,188.2917,214.2083,-0.3700,22.1100,0.0000
160,188.5833,0.0000,188.5833,212.9158,-0.4400,22.0200,0.0000
161,191.9167,0.0000,191.9167,211.9217,-0.4100,21.7600,0.0000
162,187.7917,0.0000,187.7917,210.6042,-0.4700,22.4800,0.0000
163,185.6250,0.0000,185.6250,209.2708,-0.4200,22.2600,0.0000
164,189.3750,0.0000,189.3750,208.1192,-0.3900,22.5000,0.0000
165,185.3333,0.0417,185.3750,207.0542,-0.4900,23.6800,0.0000
166,180.7500,0.0000,180.7500,205.8708,-0.4200,23.4300,0.0000
167,177.0833,0.0000,177.0833,204.6317,-0.6100,22.3000,0.0000
168,175.0417,0.0000,175.0417,203.4475,-0.4900,24.5900,0.0000
169,176.7917,0.0417,176.8334,202.2867,-0.5600,23.3500,0.0000
170,180.0833,0.0000,180.0833,201.2125,-0.4400,23.7100,0.0000
171,178.9583,0.0000,178.9583,200.2275,-0.7200,22.5400,0.0000
172,181.4167,0.0000,181.4167,199.3175,-0.5300,24.1800,0.0000
173,181.0417,0.0000,181.0417,198.3225,-0.6700,22.7900,0.0000
174,185.5000,0.0000,185.5000,197.5092,-0.4600,23.3500,0.0000
175,186.2500,0.0000,186.2500,196.7175,-0.4600,24.1700,0.0000
176,185.0000,0.0000,185.0000,196.0358,-0.4900,22.8600,0.0000
177,185.6667,0.0000,185.6667,195.2875,-0.5300,22.3900,0.0000
178,181.0000,0.0000,181.0000,194.5100,-0.4300,23.4900,0.0000
